config_id,epoch,train_mse,train_qwk,train_pearson,valid_mse,valid_qwk,valid_pearson
0,1,0.06282761502157622,0.601076945494182,0.6673597901249532,0.03248700132648457,0.8342064341805697,0.8547871136779135
0,2,0.04025250774944972,0.6885930764702531,0.7940923040241314,0.031181324997653387,0.8576487804076267,0.8742468585071606
0,3,0.030705910852628228,0.72138447888547,0.8465023840729288,0.026212341664384384,0.8853204035934996,0.8861445312923739
0,4,0.026194786581501508,0.7486055626029497,0.8705192644200368,0.024097233634112106,0.883696215921877,0.8891517580430472
0,5,0.021780853820016564,0.7631405932962287,0.8933471111509155,0.02362224031437797,0.8917693240812266,0.8955350088564926
0,6,0.018481447736794724,0.7869170225078197,0.9102014653807361,0.02358900711930921,0.8929407790365538,0.8928544104012776
0,7,0.015291544988577606,0.8039055337355261,0.926211289490848,0.028384519386771202,0.886651839489144,0.8935654637301479
0,8,0.01283974589964177,0.8150642463259545,0.938408798908993,0.027608061524915684,0.8778394933532783,0.8952548629746713
0,9,0.011525158117384927,0.8246212848999951,0.9448678523862831,0.0265095094330397,0.8718730725935017,0.895917101440457
0,10,0.010250715399509875,0.8399568339899341,0.9510993020046289,0.034637238457615724,0.8474812349944619,0.8973997353428903
